method_id,knn_10,knn_30,nkr_30,aji_30,T_30,C_30,nh_30,svm,panel,random_triplet,spearman,k-nearest,centroid_distance,AUC,Qglobal,Pearson,score,rank,C_10,C_20,Mrre_false_10,Mrre_false_20,Mrre_false_30,Mrre_missing_10,Mrre_missing_20,Mrre_missing_30,T_10,T_20,aji_10,aji_20,knn_20,nh_10,nh_20,nkr_10,nkr_20,source,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,raw_metric_value,structure_metric_class,family,family_label,local_score,global_score,structure_mean
VAE,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,VAE,VAE,aji_30,0.136,benchmarker,Baron_mouse,dr1,0.136,Local,deep generative/autoencoder,deep,,,
UMAP,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,UMAP,UMAP,aji_30,0.136,benchmarker,Baron_mouse,dr1,0.136,Local,graph/diffusion,graph,,,
EDGE,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,EDGE,EDGE,aji_30,0.085,benchmarker,Baron_mouse,dr1,0.085,Local,graph/diffusion,graph,,,
GLMPCA,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,GLMPCA,GLMPCA,aji_30,0.076,benchmarker,Baron_mouse,dr1,0.076,Local,linear/probabilistic,linear,,,
IVIS,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,ivis,IVIS,aji_30,0.093,benchmarker,Baron_mouse,dr1,0.093,Local,metric/structure-aware,metric,,,
PaCMAP,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,PaCMAP,PaCMAP,aji_30,0.01,benchmarker,Baron_mouse,dr1,0.01,Local,metric/structure-aware,metric,,,
pCMF,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,pCMF,pCMF,aji_30,0.021,benchmarker,Baron_mouse,dr1,0.021,Local,linear/probabilistic,linear,,,
PHATE,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,PHATE,PHATE,aji_30,0.113,benchmarker,Baron_mouse,dr1,0.113,Local,graph/diffusion,graph,,,
SAUCIE,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,SAUCIE,SAUCIE,aji_30,0.032,benchmarker,Baron_mouse,dr1,0.032,Local,deep generative/autoencoder,deep,,,
SCDRHA,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,SCDRHA,SCDRHA,aji_30,0.091,benchmarker,Baron_mouse,dr1,0.091,Local,deep generative/autoencoder,deep,,,
scGAE,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,scGAE,scGAE,aji_30,0.063,benchmarker,Baron_mouse,dr1,0.063,Local,deep generative/autoencoder,deep,,,
scGBM,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,scGBM,scGBM,aji_30,0.075,benchmarker,Baron_mouse,dr1,0.075,Local,linear/probabilistic,linear,,,
scScope,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,scScope,scScope,aji_30,0.125,benchmarker,Baron_mouse,dr1,0.125,Local,deep generative/autoencoder,deep,,,
tGPLVM,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,tGPLVM,tGPLVM,aji_30,0.027,benchmarker,Baron_mouse,dr1,0.027,Local,linear/probabilistic,linear,,,
TriMap,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,TriMap,TriMap,aji_30,0.145,benchmarker,Baron_mouse,dr1,0.145,Local,metric/structure-aware,metric,,,
PCA,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,PCA,PCA,aji_30,0.055,benchmarker,Baron_mouse,dr1,0.055,Local,linear/probabilistic,linear,,,
t-SNE,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,TSNE,t-SNE,aji_30,0.137,benchmarker,Baron_mouse,dr1,0.137,Local,metric/structure-aware,metric,,,
SPDR,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,SPDR,SPDR,aji_30,0.156,benchmarker,Baron_mouse,dr1,0.156,Local,graph/diffusion,graph,,,
SIMLR,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,SIMLR,SIMLR,aji_30,0.144,benchmarker,Baron_mouse,dr1,0.144,Local,graph/diffusion,graph,,,
SSNMDI,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,SSNMDI,SSNMDI,aji_30,0.009,benchmarker,Baron_mouse,dr1,0.009,Local,linear/probabilistic,linear,,,
Parametric UMAP 50,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,ParametricUMAP50,UMAP,aji_30,0.127,benchmarker,Baron_mouse,dr1,0.127,Local,graph/diffusion,graph,,,
Parametric UMAP 200,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,ParametricUMAP200,UMAP,aji_30,0.131,benchmarker,Baron_mouse,dr1,0.131,Local,graph/diffusion,graph,,,
SQuaD-MDS,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,SQuaD_MDS,SQuaD-MDS,aji_30,0.066,benchmarker,Baron_mouse,dr1,0.066,Local,metric/structure-aware,metric,,,
SQuaD-MDS hybrid,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,SQuaD_MDS_hybrid,SQuaD-MDS,aji_30,0.148,benchmarker,Baron_mouse,dr1,0.148,Local,metric/structure-aware,metric,,,
