parent_method,nkr_30,aji_30,T_30,C_30,nh_30,panel,random_triplet,spearman,k-nearest,centroid_distance,Pearson,method_id,score,rank,Macosko,Zheng-68 k,Zheng-73 k,local_score,global_score,structure_mean,large_dataset_completed_n,C_10,C_20,Mrre_false_10,Mrre_false_20,Mrre_false_30,Mrre_missing_10,Mrre_missing_20,Mrre_missing_30,T_10,T_20,aji_10,aji_20,knn_10,knn_20,knn_30,nh_10,nh_20,nkr_10,nkr_20,svm,source,AUC,Qglobal,method_raw,metric,value,dataset_category,dataset_id,structure_table,raw_metric_value
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,spearman,-0.011,TI,combination-2,dr1,-0.011
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,spearman,0.266,TI,combination-2,dr1,0.266
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,spearman,0.528,TI,combination-2,dr1,0.528
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,spearman,0.291,TI,combination-2,dr1,0.291
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,spearman,0.236,TI,combination-2,dr1,0.236
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,spearman,0.389,TI,combination-2,dr1,0.389
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,spearman,0.018,TI,combination-2,dr1,0.018
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,spearman,0.198,TI,combination-2,dr1,0.198
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,spearman,0.202,TI,combination-2,dr1,0.202
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,spearman,0.791,TI,combination-2,dr1,0.791
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,spearman,0.304,TI,combination-2,dr1,0.304
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,k-nearest,0.639,TI,combination-2,dr1,0.639
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,k-nearest,0.583,TI,combination-2,dr1,0.583
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,k-nearest,0.417,TI,combination-2,dr1,0.417
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,k-nearest,0.667,TI,combination-2,dr1,0.667
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,k-nearest,0.639,TI,combination-2,dr1,0.639
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,k-nearest,0.667,TI,combination-2,dr1,0.667
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,k-nearest,0.639,TI,combination-2,dr1,0.639
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,k-nearest,0.444,TI,combination-2,dr1,0.444
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,k-nearest,0.667,TI,combination-2,dr1,0.667
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,k-nearest,0.694,TI,combination-2,dr1,0.694
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,k-nearest,0.111,TI,combination-2,dr1,0.111
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,k-nearest,0.333,TI,combination-2,dr1,0.333
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,k-nearest,0.722,TI,combination-2,dr1,0.722
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,k-nearest,0.444,TI,combination-2,dr1,0.444
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,k-nearest,0.528,TI,combination-2,dr1,0.528
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,k-nearest,0.528,TI,combination-2,dr1,0.528
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,k-nearest,0.611,TI,combination-2,dr1,0.611
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,k-nearest,0.611,TI,combination-2,dr1,0.611
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,k-nearest,0.25,TI,combination-2,dr1,0.25
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,k-nearest,0.694,TI,combination-2,dr1,0.694
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,k-nearest,0.611,TI,combination-2,dr1,0.611
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,k-nearest,0.694,TI,combination-2,dr1,0.694
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,k-nearest,0.694,TI,combination-2,dr1,0.694
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,k-nearest,0.611,TI,combination-2,dr1,0.611
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,k-nearest,0.278,TI,combination-2,dr1,0.278
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,k-nearest,0.722,TI,combination-2,dr1,0.722
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,k-nearest,0.667,TI,combination-2,dr1,0.667
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,k-nearest,0.528,TI,combination-2,dr1,0.528
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,k-nearest,0.778,TI,combination-2,dr1,0.778
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,centroid_distance,0.592,TI,combination-2,dr1,0.592
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,centroid_distance,0.528,TI,combination-2,dr1,0.528
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,centroid_distance,0.711,TI,combination-2,dr1,0.711
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,centroid_distance,0.588,TI,combination-2,dr1,0.588
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,centroid_distance,0.905,TI,combination-2,dr1,0.905
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,centroid_distance,0.577,TI,combination-2,dr1,0.577
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,centroid_distance,0.779,TI,combination-2,dr1,0.779
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,centroid_distance,0.467,TI,combination-2,dr1,0.467
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,centroid_distance,0.553,TI,combination-2,dr1,0.553
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,centroid_distance,0.651,TI,combination-2,dr1,0.651
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,centroid_distance,0.444,TI,combination-2,dr1,0.444
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,centroid_distance,0.192,TI,combination-2,dr1,0.192
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,centroid_distance,0.758,TI,combination-2,dr1,0.758
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,centroid_distance,0.282,TI,combination-2,dr1,0.282
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,centroid_distance,0.346,TI,combination-2,dr1,0.346
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,centroid_distance,0.521,TI,combination-2,dr1,0.521
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,centroid_distance,0.561,TI,combination-2,dr1,0.561
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,centroid_distance,0.511,TI,combination-2,dr1,0.511
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,centroid_distance,0.634,TI,combination-2,dr1,0.634
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,centroid_distance,0.806,TI,combination-2,dr1,0.806
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,centroid_distance,0.467,TI,combination-2,dr1,0.467
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,centroid_distance,0.649,TI,combination-2,dr1,0.649
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,centroid_distance,0.715,TI,combination-2,dr1,0.715
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,centroid_distance,0.676,TI,combination-2,dr1,0.676
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,centroid_distance,0.406,TI,combination-2,dr1,0.406
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,centroid_distance,0.747,TI,combination-2,dr1,0.747
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,centroid_distance,0.802,TI,combination-2,dr1,0.802
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,centroid_distance,0.496,TI,combination-2,dr1,0.496
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,centroid_distance,0.818,TI,combination-2,dr1,0.818
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,T_30,0.619,TI,combination-2,dr2,0.619
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,T_30,0.59,TI,combination-2,dr2,0.59
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,T_30,0.503,TI,combination-2,dr2,0.503
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,T_30,0.605,TI,combination-2,dr2,0.605
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,T_30,0.647,TI,combination-2,dr2,0.647
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,T_30,0.648,TI,combination-2,dr2,0.648
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,T_30,0.642,TI,combination-2,dr2,0.642
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,T_30,0.599,TI,combination-2,dr2,0.599
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,T_30,0.614,TI,combination-2,dr2,0.614
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,T_30,0.625,TI,combination-2,dr2,0.625
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,T_30,0.508,TI,combination-2,dr2,0.508
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,T_30,0.547,TI,combination-2,dr2,0.547
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,T_30,0.645,TI,combination-2,dr2,0.645
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,T_30,0.572,TI,combination-2,dr2,0.572
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,T_30,0.621,TI,combination-2,dr2,0.621
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,T_30,0.603,TI,combination-2,dr2,0.603
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,T_30,0.618,TI,combination-2,dr2,0.618
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,T_30,0.603,TI,combination-2,dr2,0.603
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,T_30,0.503,TI,combination-2,dr2,0.503
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,T_30,0.669,TI,combination-2,dr2,0.669
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,T_30,0.592,TI,combination-2,dr2,0.592
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,T_30,0.662,TI,combination-2,dr2,0.662
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,T_30,0.684,TI,combination-2,dr2,0.684
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,T_30,0.654,TI,combination-2,dr2,0.654
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,T_30,0.517,TI,combination-2,dr2,0.517
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,T_30,0.645,TI,combination-2,dr2,0.645
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,T_30,0.644,TI,combination-2,dr2,0.644
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,T_30,0.604,TI,combination-2,dr2,0.604
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,T_30,0.642,TI,combination-2,dr2,0.642
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,C_30,0.765,TI,combination-2,dr2,0.765
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,C_30,0.595,TI,combination-2,dr2,0.595
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,C_30,0.495,TI,combination-2,dr2,0.495
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,C_30,0.742,TI,combination-2,dr2,0.742
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,C_30,0.869,TI,combination-2,dr2,0.869
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,C_30,0.754,TI,combination-2,dr2,0.754
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,C_30,0.812,TI,combination-2,dr2,0.812
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,C_30,0.699,TI,combination-2,dr2,0.699
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,C_30,0.738,TI,combination-2,dr2,0.738
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,C_30,0.812,TI,combination-2,dr2,0.812
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,C_30,0.531,TI,combination-2,dr2,0.531
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,C_30,0.712,TI,combination-2,dr2,0.712
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,C_30,0.793,TI,combination-2,dr2,0.793
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,C_30,0.652,TI,combination-2,dr2,0.652
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,C_30,0.783,TI,combination-2,dr2,0.783
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,C_30,0.56,TI,combination-2,dr2,0.56
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,C_30,0.739,TI,combination-2,dr2,0.739
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,C_30,0.537,TI,combination-2,dr2,0.537
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,C_30,0.51,TI,combination-2,dr2,0.51
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,C_30,0.8,TI,combination-2,dr2,0.8
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,C_30,0.748,TI,combination-2,dr2,0.748
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,C_30,0.764,TI,combination-2,dr2,0.764
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,C_30,0.807,TI,combination-2,dr2,0.807
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,C_30,0.713,TI,combination-2,dr2,0.713
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,C_30,0.531,TI,combination-2,dr2,0.531
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,C_30,0.807,TI,combination-2,dr2,0.807
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,C_30,0.809,TI,combination-2,dr2,0.809
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,C_30,0.807,TI,combination-2,dr2,0.807
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,C_30,0.821,TI,combination-2,dr2,0.821
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,Pearson,0.266,TI,combination-2,dr3,0.266
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,Pearson,0.733,TI,combination-2,dr3,0.733
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,Pearson,0.017,TI,combination-2,dr3,0.017
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,Pearson,0.417,TI,combination-2,dr3,0.417
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,Pearson,0.364,TI,combination-2,dr3,0.364
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,Pearson,0.184,TI,combination-2,dr3,0.184
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,Pearson,0.132,TI,combination-2,dr3,0.132
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,Pearson,0.0,TI,combination-2,dr3,0.0
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,Pearson,0.124,TI,combination-2,dr3,0.124
