method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric
PCA,0.28,PCA,PCA,benchmarker,Baron_mouse,louvain,SIL
PHATE,0.36,PHATE,PHATE,benchmarker,Baron_mouse,louvain,SIL
ivis,0.31,IVIS,IVIS,benchmarker,Baron_mouse,spectral,ARI
scGAE,0.27,scGAE,scGAE,benchmarker,Baron_mouse,spectral,ARI
VASC,0.31,VASC,VASC,benchmarker,Baron_mouse,spectral,ARI
scGBM,0.26,scGBM,scGBM,benchmarker,Baron_mouse,spectral,ARI
SPDR,0.22,SPDR,SPDR,benchmarker,Baron_mouse,spectral,ARI
pCMF,0.13,pCMF,pCMF,benchmarker,Baron_mouse,spectral,ARI
SQuaD_MDS_hybrid,0.38,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,spectral,ARI
SCDRHA,0.31,SCDRHA,SCDRHA,benchmarker,Baron_mouse,spectral,ARI
TSNE,0.34,t-SNE,t-SNE,benchmarker,Baron_mouse,spectral,ARI
UMAP,0.36,UMAP,UMAP,benchmarker,Baron_mouse,spectral,ARI
VAE,0.36,VAE,VAE,benchmarker,Baron_mouse,spectral,ARI
DREAM,0.18,DREAM,DREAM,benchmarker,Baron_mouse,spectral,ARI
ZIFA,0.19,ZIFA,ZIFA,benchmarker,Baron_mouse,spectral,ARI
SSNMDI,0.0,SSNMDI,SSNMDI,benchmarker,Baron_mouse,spectral,ARI
tGPLVM,0.12,tGPLVM,tGPLVM,benchmarker,Baron_mouse,spectral,ARI
SQuaD_MDS,0.25,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,spectral,ARI
GLMPCA,0.28,GLMPCA,GLMPCA,benchmarker,Baron_mouse,spectral,ARI
