method_id,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,method_order,collection,sim_axis
PCA,PCA,PCA,kmax,872.0,VASC,Zeisel,dr2,0,VASC,other
PCA,PCA,PCA,random_triplet,0.762,VASC,Zeisel,dr1,0,VASC,other
PCA,PCA,PCA,spearman,0.799,VASC,Zeisel,dr1,0,VASC,other
PCA,PCA,PCA,svm,0.725,VASC,Zeisel,dr1,0,VASC,other
PCA,PCA,PCA,AUC,0.88,VASC,yan,dr2,0,VASC,other
PCA,PCA,PCA,Pearson,0.918,VASC,yan,dr3,0,VASC,other
PCA,PCA,PCA,Qglobal,0.951,VASC,yan,dr2,0,VASC,other
PCA,PCA,PCA,Qlocal,0.723,VASC,yan,dr2,0,VASC,other
PCA,PCA,PCA,centroid_distance,0.996,VASC,yan,dr1,0,VASC,other
PCA,PCA,PCA,k-nearest,1.0,VASC,yan,dr1,0,VASC,other
PCA,PCA,PCA,kmax,24.0,VASC,yan,dr2,0,VASC,other
PCA,PCA,PCA,random_triplet,0.907,VASC,yan,dr1,0,VASC,other
PCA,PCA,PCA,spearman,0.943,VASC,yan,dr1,0,VASC,other
PCA,PCA,PCA,svm,0.833,VASC,yan,dr1,0,VASC,other
PCA,PCA,PCA,AUC,0.649,benchmarker,Baron_mouse,dr2,0,curated,other
PCA,PCA,PCA,Pearson,0.799,benchmarker,Baron_mouse,dr3,0,curated,other
PCA,PCA,PCA,Qglobal,0.931,benchmarker,Baron_mouse,dr2,0,curated,other
PCA,PCA,PCA,Qlocal,0.481,benchmarker,Baron_mouse,dr2,0,curated,other
PCA,PCA,PCA,centroid_distance,0.364,benchmarker,Baron_mouse,dr1,0,curated,other
PCA,PCA,PCA,k-nearest,0.564,benchmarker,Baron_mouse,dr1,0,curated,other
PCA,PCA,PCA,kmax,1177.0,benchmarker,Baron_mouse,dr2,0,curated,other
PCA,PCA,PCA,random_triplet,0.704,benchmarker,Baron_mouse,dr1,0,curated,other
PCA,PCA,PCA,spearman,0.818,benchmarker,Baron_mouse,dr1,0,curated,other
PCA,PCA,PCA,svm,0.741,benchmarker,Baron_mouse,dr1,0,curated,other
PCA,PCA,PCA,AUC,0.644,benchmarker,Darmanis,dr2,0,curated,other
PCA,PCA,PCA,Pearson,0.589,benchmarker,Darmanis,dr3,0,curated,other
PCA,PCA,PCA,Qglobal,0.732,benchmarker,Darmanis,dr2,0,curated,other
PCA,PCA,PCA,Qlocal,0.31,benchmarker,Darmanis,dr2,0,curated,other
PCA,PCA,PCA,centroid_distance,0.708,benchmarker,Darmanis,dr1,0,curated,other
PCA,PCA,PCA,k-nearest,0.5,benchmarker,Darmanis,dr1,0,curated,other
PCA,PCA,PCA,kmax,87.0,benchmarker,Darmanis,dr2,0,curated,other
PCA,PCA,PCA,random_triplet,0.692,benchmarker,Darmanis,dr1,0,curated,other
PCA,PCA,PCA,spearman,0.633,benchmarker,Darmanis,dr1,0,curated,other
PCA,PCA,PCA,svm,0.707,benchmarker,Darmanis,dr1,0,curated,other
PCA,PCA,PCA,AUC,0.713,benchmarker,Pancreatic,dr2,0,curated,other
PCA,PCA,PCA,Pearson,0.532,benchmarker,Pancreatic,dr3,0,curated,other
PCA,PCA,PCA,Qglobal,0.798,benchmarker,Pancreatic,dr2,0,curated,other
PCA,PCA,PCA,Qlocal,0.329,benchmarker,Pancreatic,dr2,0,curated,other
PCA,PCA,PCA,centroid_distance,0.909,benchmarker,Pancreatic,dr1,0,curated,other
PCA,PCA,PCA,k-nearest,0.833,benchmarker,Pancreatic,dr1,0,curated,other
PCA,PCA,PCA,kmax,10.0,benchmarker,Pancreatic,dr2,0,curated,other
PCA,PCA,PCA,random_triplet,0.777,benchmarker,Pancreatic,dr1,0,curated,other
PCA,PCA,PCA,spearman,0.674,benchmarker,Pancreatic,dr1,0,curated,other
PCA,PCA,PCA,svm,0.6,benchmarker,Pancreatic,dr1,0,curated,other
PCA,PCA,PCA,AUC,0.735,benchmarker,Silver,dr2,0,curated,other
PCA,PCA,PCA,Pearson,0.803,benchmarker,Silver,dr3,0,curated,other
PCA,PCA,PCA,Qglobal,0.855,benchmarker,Silver,dr2,0,curated,other
PCA,PCA,PCA,Qlocal,0.382,benchmarker,Silver,dr2,0,curated,other
PCA,PCA,PCA,centroid_distance,0.988,benchmarker,Silver,dr1,0,curated,other
PCA,PCA,PCA,k-nearest,0.909,benchmarker,Silver,dr1,0,curated,other
PCA,PCA,PCA,kmax,654.0,benchmarker,Silver,dr2,0,curated,other
PCA,PCA,PCA,random_triplet,0.799,benchmarker,Silver,dr1,0,curated,other
